day_type,CAPE TOWN,TOLLGATE STOP,GROOTE SCHUUR HOSP,MOWBRAY,N2 FREEWAY,HANOVER PARK,ROCKLANDS,TOWN CENTRE,BEACON VALLEY,TAFELSIG,SOMERSET HOSP
Fridays,10:30,,via,10:40,,11:10,via,12:05,,,
Fridays,13:20,,,,via,,via,14:40,,,
Fridays,14:30,,14:55,15:00,,15:40,via,16:00,,,
Fridays,16:10,,,,,16:25,,17:30,,,
MondaysToFridays,07:40,,08:05,08:10,,08:50,via,09:05,,,
MondaysToFridays,16:30,,,,via,,via,18:00,,,
MondaysToFridays,,,,16:30,,16:55,via,18:00,,,
MondaysToFridays,16:45,,,,via,,via,18:00,,,
MondaysToFridays,,16:50,,,via,,via,18:30,,,
MondaysToFridays,17:00,,,,via,,via,18:00,,,
MondaysToFridays,17:20,,,,via,,via,19:05,,,
MondaysToFridays,17:45,,,,via,,via,19:00,,,
MondaysToFridays,,,,18:00,,,via,,19:00,via,
MondaysToFridays,18:00,,,,,18:15,,18:50,,,
MondaysToFridays,18:00,,,,via,,via,19:10,,,
MondaysToFridays,18:30,,18:55,19:00,,19:20,via,19:30,,,
MondaysToFridays,,,19:10,via,,,20:30,,,via,
MondaysToFridays,17:15,,,,via,,via,18:30,,,
MondaysToFridays,16:15,,,,via,,via,18:00,,,
MondaysToFridays,,,,16:55,,,via,18:05,,,
MondaysToFridays,12:00,,via,12:10,,12:40,via,13:30,,,
MondaysToFridays,15:50,,,,via,,via,18:00,,,
MondaysToFridays,15:30,,,,via,,via,16:30,,,
MondaysToFridays,15:15,,,,via,,via,16:30,,,
MondaysToFridays,15:00,,,,via,,via,16:35,,,
MondaysToFridays,,15:00,15:10,15:20,,15:45,via,16:30,,,
MondaysToFridays,,,,14:30,,,,,15:30,via,
MondaysToFridays,16:10,,,,via,,via,17:40,,,
MondaysToFridays,13:00,,via,13:10,,13:40,via,14:30,,,
MondaysToFridays,14:00,,14:25,14:30,,15:10,via,15:30,,,
MondaysToFridays,14:00,,,,,14:15,,15:30,,,
Mondays_to_Thursdays,10:30,,via,10:40,,11:10,via,12:05,,,
Mondays_to_Thursdays,13:30,,13:55,14:00,,14:40,via,15:00,,,
Mondays_to_Thursdays,16:10,,,,,16:15,,18:00,,,
Mondays_to_Thursdays,,,,17:30,,,,,18:30,via,
Mondays_to_Thursdays,14:30,,14:55,15:00,,15:40,via,16:00,,,
Mondays_to_Thursdays,17:30,,,,via,,via,18:50,,,
PublicHolidays,09:00,,,09:25,,09:55,via,10:30,,,
PublicHolidays,09:30,,,09:50,,10:20,via,11:00,,,
PublicHolidays,11:00,,via,11:20,,11:40,via,12:15,,,
PublicHolidays,11:30,,,11:50,,12:20,via,13:00,,,
PublicHolidays,13:15,,via,13:35,,13:55,via,15:00,,,
PublicHolidays,14:00,,via,14:20,,14:40,via,15:30,,,
PublicHolidays,15:00,,,15:20,,15:50,via,16:30,,,
PublicHolidays,16:30,,,16:50,,17:20,via,17:50,,,
PublicHolidays,17:00,,,17:20,,17:50,via,18:30,,,
PublicHolidays,18:00,,,18:20,,18:50,via,19:10,,,
PublicHolidays,18:30,,,18:50,,19:20,via,20:00,,,
PublicHolidays,07:50,,,08:10,,08:40,via,09:30,,,
PublicHolidays,16:00,,,16:20,,16:50,via,17:30,,,
PublicHolidays,07:10,,via,,,07:40,via,08:30,,,
PublicHolidays,19:20,,,19:40,,20:20,via,20:35,,,19:05
PublicHolidays,19:00,,19:25,19:30,,20:10,via,20:20,,,
Saturdays,17:10,,,,via,,via,18:10,,,
Saturdays,07:00,,,,via,07:40,via,08:15,,,
Saturdays,07:30,,07:55,08:00,,08:40,via,09:00,,,
Saturdays,09:00,,,09:25,,09:55,via,10:15,,,
Saturdays,10:20,,10:45,10:50,,11:30,via,12:00,,,
Saturdays,10:40,,11:05,11:10,,11:50,via,12:15,,,
Saturdays,12:00,,12:25,12:30,,13:10,via,13:40,,,
Saturdays,13:00,,,,via,,via,14:30,,,
Saturdays,13:15,,,13:35,,14:05,via,14:45,,,
Saturdays,13:30,,,13:55,,14:25,via,15:30,,,
Saturdays,14:00,,,,via,,via,15:00,,,
Saturdays,14:15,,via,14:25,,14:55,via,15:40,,,
Saturdays,14:40,,via,14:50,,15:20,via,15:50,,,
Saturdays,15:00,,,15:20,,15:50,via,16:10,,,
Saturdays,18:55,,,19:15,,19:45,via,20:15,,,
Saturdays,18:00,,,18:20,,18:50,via,19:20,,,
Saturdays,17:35,,,17:55,,18:25,via,19:00,,,
Saturdays,16:00,,,,via,,via,17:30,,,
Saturdays,09:20,,09:45,09:50,,10:30,via,10:40,,,
Sundays,18:10,,via,18:20,,18:50,via,19:30,,,
Sundays,17:10,,via,17:20,,17:50,via,18:15,,,
Sundays,16:10,,,16:20,,16:50,via,17:30,,,
Sundays,15:30,,via,15:40,,16:10,via,16:30,,,
Sundays,14:15,,,14:40,,15:10,via,15:30,,,
Sundays,13:00,,via,13:10,,13:40,via,14:15,,,
Sundays,11:30,,,11:55,,12:25,via,13:00,,,
Sundays,09:20,,via,09:30,,10:00,via,10:30,,,
Sundays,08:20,,via,08:30,,09:00,via,09:40,,,
Sundays,07:20,,via,07:30,,08:00,via,08:30,,,
