day_type,MAKHAZA,VILLAGE 3,HARARE,J BLOCK,MAKHAYA,SITE C,SYMPHONY WAY,NYANGA TERM,ELSIES RIVER,N1 CITY,ROUTE B,PANORAMA MEDI CLINIC
Fridays,13:10,13:35,,,,13:40,,13:50,14:20,via,via,15:00
Fridays,12:00,12:20,,,,12:30,,,13:20,13:30,via,15:00
Fridays,,,08:15,,,08:30,,,09:10,,via,09:45
Fridays,,,06:00,,,06:15,,,06:55,,via,07:55
Fridays,06:05,06:25,,,,06:35,,,07:25,07:35,via,08:35
Fridays,,,06:15,,,06:30,,,07:10,,via,08:00
MondaysToFridays,04:45,05:10,,,,05:15,,05:25,05:55,via,via,06:20
MondaysToFridays,,15:30,15:50,15:35,via,16:00,,16:10,16:35,16:50,,17:15
MondaysToFridays,,08:50,09:10,,,09:20,,09:30,10:00,via,via,10:25
MondaysToFridays,07:40,08:05,,,,08:10,,08:20,08:50,via,via,09:25
MondaysToFridays,,,07:30,,,07:45,,,08:25,,via,09:30
MondaysToFridays,,,07:00,,,07:15,,,07:55,,via,09:00
MondaysToFridays,06:40,07:00,,,,07:10,,,08:00,08:10,via,08:40
MondaysToFridays,,,06:35,,,06:50,,,07:30,,via,08:30
MondaysToFridays,06:30,,,,,07:00,via,,07:40,via,via,08:45
MondaysToFridays,,,08:20,,,08:35,,08:50,09:15,,,10:00
MondaysToFridays,06:00,06:20,,,,06:30,,,07:20,07:30,via,07:50
MondaysToFridays,05:45,06:05,,,,06:15,,,07:05,07:15,via,08:00
MondaysToFridays,,,05:45,,,06:00,,,06:40,,via,08:00
MondaysToFridays,05:35,05:55,,,,06:05,,,06:55,07:05,via,07:55
MondaysToFridays,06:15,,,,,06:45,via,,07:25,via,via,08:20
MondaysToFridays,,,05:30,,,05:45,,,06:25,,via,07:10
MondaysToFridays,05:15,05:35,,,,05:45,,,06:35,06:45,via,07:00
MondaysToFridays,,,05:15,,,,,,via,,,07:10
MondaysToFridays,,,04:45,,,05:00,,,05:40,,via,06:05
Mondays_to_Thursdays,,,06:15,,,06:30,,,07:10,,via,07:45
Mondays_to_Thursdays,06:05,06:25,,,,06:35,,,07:25,07:35,via,08:10
Mondays_to_Thursdays,,,06:00,,,06:15,,,06:55,,via,08:00
Mondays_to_Thursdays,,,08:15,,,08:30,,,09:10,,via,10:00
Mondays_to_Thursdays,13:10,13:35,,,,13:40,,13:50,14:20,via,via,15:20
Mondays_to_Thursdays,,,,,,,,,15:50,,via,16:35
PublicHolidays,,,07:00,,,07:15,,07:30,07:55,,,08:20
PublicHolidays,,06:00,06:20,,,06:30,,06:40,07:10,via,via,07:40
PublicHolidays,05:30,05:15,05:40,,,via,,06:00,via,via,,06:50
PublicHolidays,17:30,17:15,17:40,,,via,,18:00,via,via,,18:45
PublicHolidays,,07:30,07:50,,,08:00,,08:10,08:40,via,via,09:10
Saturdays,12:00,12:20,,,,12:30,,,13:20,13:30,via,14:30
Saturdays,17:30,17:15,17:40,,,via,,18:00,via,via,,18:45
Saturdays,,06:20,06:40,,,06:50,,07:00,07:30,via,via,08:00
Saturdays,,05:15,05:35,,,05:45,,05:55,06:25,via,via,06:50
Saturdays,,07:30,07:50,,,08:00,,08:10,08:40,via,via,09:30
Saturdays,,,06:10,,,06:25,,,07:05,,via,08:00
Sundays,05:45,05:30,05:55,,,via,,06:15,via,via,,07:15
Sundays,06:00,06:20,,,,06:30,,,07:20,07:30,via,08:00
Sundays,,,06:00,,,06:15,,,06:55,,via,07:30
Sundays,,,06:30,,,06:45,,07:00,07:25,,,07:45
Sundays,,,07:30,,,07:45,,08:00,08:25,,,08:55
Sundays,,07:30,07:50,,,08:00,,08:10,08:40,via,via,09:10
Sundays,,,08:30,,,08:45,,09:00,09:25,,,10:00
Sundays,17:30,17:15,17:40,,,via,,18:00,via,via,,18:45
