day_type,CLAREMONT,KENILWORTH CENTRE,STRANDFONTEIN,STRANDFONTEIN VILL,SAN REMO,BAYVIEW
Fridays,13:00,via,,via,via,14:30
Fridays,17:30,via,,via,via,18:30
Fridays,16:30,via,,via,via,18:00
MondaysToFridays,19:15,via,,via,via,20:15
MondaysToFridays,17:40,via,,via,via,18:50
MondaysToFridays,17:00,via,,via,via,18:10
MondaysToFridays,18:15,via,,via,via,19:20
MondaysToFridays,16:10,via,,via,via,17:30
MondaysToFridays,15:00,via,,via,via,16:25
MondaysToFridays,14:00,via,,via,via,15:30
MondaysToFridays,16:25,via,,via,via,18:00
Mondays_to_Thursdays,16:45,via,,via,via,18:00
Mondays_to_Thursdays,17:30,via,,via,via,18:30
Mondays_to_Thursdays,13:00,via,,via,via,14:15
PublicHolidays,17:30,,via,,,18:30
PublicHolidays,14:30,,via,,,15:20
Saturdays,12:20,via,,via,via,13:20
Saturdays,15:30,,via,,,16:30
Saturdays,16:30,,via,,,18:00
Saturdays,17:20,via,,via,via,19:00
Saturdays,18:15,via,,via,via,19:15
Saturdays,11:30,via,,via,via,13:00
Saturdays,13:30,via,,via,via,14:30
Sundays,15:30,,via,,,16:30
Sundays,16:30,,via,,,17:20
Sundays,17:30,,via,,,18:20
