day_type,MFULENI,MALIBU,KLEINVLEI,ELECTRIC CITY,SOMERSET MALL,SOMERSET WEST,STRAND,LWANDLE
Fridays,06:35,,,,,07:10,07:45,
Fridays,07:40,via,via,,08:30,08:40,09:05,
Fridays,,,,15:50,,16:20,,
MondaysToFridays,05:30,via,via,,,06:05,,06:35
Mondays_to_Thursdays,06:35,,,,,07:10,07:55,
PublicHolidays,07:40,via,via,,08:40,,,
PublicHolidays,11:00,via,,,12:00,,,
Saturdays,07:00,via,,,07:50,,,
Saturdays,07:30,via,via,,08:30,,,
Saturdays,14:00,via,,,13:00,,,
Saturdays,16:00,via,,,15:00,,,
Saturdays,18:15,via,,,17:15,,,
Sundays,08:00,via,via,,09:00,,,
