day_type,TOWN CENTRE,MERRYDALE AVE,ROCKLANDS,STRANDFONTEIN VILL,PICK 'N PAY,MUIZENBERG,FISH HOEK,MURDOCH VALLEY,SIMONSTOWN,SEA FORTH
MondaysToFridays,05:15,via,via,05:45,,,,06:30,via,
MondaysToFridays,14:00,,,via,via,14:45,,,,
MondaysToFridays,06:50,,,via,,,,08:00,,
MondaysToFridays,06:45,,,via,via,07:45,,,,
MondaysToFridays,06:30,,,via,,,,08:00,,
MondaysToFridays,09:00,,,via,via,10:00,,,,
MondaysToFridays,06:15,,,via,via,,,,08:20,
MondaysToFridays,,,,,,05:50,05:50,,,
MondaysToFridays,05:45,,,via,via,,,,07:35,
MondaysToFridays,05:30,,,via,via,,,,06:45,
MondaysToFridays,06:30,,,via,via,07:45,,,,
PublicHolidays,10:20,,,via,via,11:20,,,,
PublicHolidays,06:15,,,via,,,,,,07:15
PublicHolidays,07:00,,,via,via,08:00,,,,
PublicHolidays,14:20,,,via,,,,,,16:00
Saturdays,06:15,,,via,via,,,,07:30,
Saturdays,09:00,,,via,via,10:20,,,,
Saturdays,12:00,,,via,,12:40,13:30,,,
Sundays,06:05,,,06:25,,,,,07:50,
