day_type,CAPE TOWN,N2 FREEWAY,MOWBRAY,NYANGA TERM,PHILIPPI EAST SAP
MondaysToFridays,06:30,,06:50,via,07:40
Mondays_to_Thursdays,12:30,,,via,13:30
Fridays,12:30,,,via,13:20
Mondays_to_Thursdays,13:30,,,via,15:00
Fridays,13:30,,,via,14:25
Fridays,14:30,,,via,16:00
Mondays_to_Thursdays,14:30,,,via,15:45
Mondays_to_Thursdays,15:00,via,,,16:10
Fridays,15:00,via,,,16:30
MondaysToFridays,15:10,,15:30,via,16:40
Mondays_to_Thursdays,15:20,,15:40,via,16:30
Fridays,15:20,,15:40,via,16:30
Fridays,15:30,,,via,17:00
Mondays_to_Thursdays,15:30,,,via,17:00
Mondays_to_Thursdays,,,15:40,16:20,16:30
Mondays_to_Thursdays,16:00,via,,,17:20
Fridays,16:00,via,,,17:30
Mondays_to_Thursdays,16:10,,,via,18:00
Mondays_to_Thursdays,16:30,via,,,17:45
MondaysToFridays,16:30,via,,,18:30
Mondays_to_Thursdays,16:45,,,via,18:10
Fridays,16:45,,,via,18:10
Mondays_to_Thursdays,17:00,,,via,18:20
Fridays,17:00,,,via,18:30
Fridays,17:20,,,via,18:30
MondaysToFridays,17:40,,,via,18:55
MondaysToFridays,17:50,,,via,19:00
Mondays_to_Thursdays,18:00,,,via,19:20
