day_type,KRAAIFONTEIN IND,CAPE GATE,VREDEKLOOF,ESCOM (BRACKENFELL),SPEKENAM,R300 FREEWAY,EINDHOVEN,NYANGA TERM,PHILIPPI EAST SAP,SITE C,HARARE,VILLAGE 3,MAKHAZA,ENKANINI
Fridays,,,15:45,,,via,,,,,,via,via,17:20
Fridays,17:15,,17:00,,,via,,,,via,18:20,,,
Fridays,,,16:20,,,via,,,,,,via,via,18:10
Fridays,16:20,,16:00,,,,,,,via,17:50,,,
Fridays,,,17:15,,via,,,18:30,,,,,,
Fridays,,,15:15,,,via,,,,via,,via,16:30,
Fridays,,,15:15,,,via,,,,via,16:20,,,
Fridays,,via,17:00,,,via,,,,,,via,18:00,
Fridays,,,15:05,,,via,,,,via,,via,17:00,
Fridays,,,14:00,,,via,,,,via,16:00,,,
Fridays,,,14:00,,,via,,,,via,,via,16:00,
Fridays,,18:30,,,,via,,,,via,,via,19:50,
Fridays,13:15,,13:00,,,via,,,,via,14:15,,,
MondaysToFridays,,,16:00,,via,,,via,17:50,,,,,
MondaysToFridays,,,16:15,16:40,16:50,,via,,,via,,,18:00,
MondaysToFridays,16:35,,16:20,,,via,,,,via,18:00,,,
MondaysToFridays,,,17:15,,via,,,via,19:00,,,,,
Mondays_to_Thursdays,,18:30,,,,via,,,,via,,via,19:40,
Mondays_to_Thursdays,17:15,,17:00,,,via,,,,via,18:30,,,
Mondays_to_Thursdays,17:10,,,,,via,,,,via,18:20,,,
Mondays_to_Thursdays,,,17:10,,,via,,,,via,,18:50,,
Mondays_to_Thursdays,13:15,,13:00,,,via,,,,via,14:00,,,
Mondays_to_Thursdays,,via,17:00,,,via,,,,,,via,18:30,
Mondays_to_Thursdays,,via,16:30,,,via,,,,,,via,18:10,
Mondays_to_Thursdays,,,16:20,,,via,,,,,,via,via,18:10
Mondays_to_Thursdays,,,16:10,,via,,,via,18:00,,,,,
Mondays_to_Thursdays,16:20,,16:00,,,,,,,via,18:00,,,
Mondays_to_Thursdays,,,15:05,,,via,,,,via,17:00,,,
Mondays_to_Thursdays,,,15:05,,,via,,,,via,,via,17:00,
Mondays_to_Thursdays,14:20,,14:00,,,via,,,,15:20,,15:30,,
PublicHolidays,,,16:30,,via,,,via,18:00,,,,,
PublicHolidays,16:45,,16:30,,,via,,,,via,18:00,,,
PublicHolidays,,,16:30,,,via,,,,via,,via,18:00,
Saturdays,,,15:00,,via,,,via,17:00,,,,,
Saturdays,,,15:30,,,via,,,,via,,via,16:45,
Saturdays,,,17:30,,,via,,,,via,,via,18:45,
Saturdays,,,14:30,,,via,,,,via,,via,16:00,
Saturdays,,,14:30,,,via,,,,via,16:00,,,
Sundays,,,14:30,,,via,,,,via,,via,16:00,
Sundays,,,15:00,,via,,,via,17:00,,,,,
Sundays,,,16:30,,,via,,,,via,,via,18:00,
