day_type,TOWN CENTRE,WESPOORT,ROCKLANDS,CENTURY CITY
MondaysToFridays,05:15,,,06:30
MondaysToFridays,14:00,,via,14:50
MondaysToFridays,12:50,,via,14:30
MondaysToFridays,12:15,,via,14:00
MondaysToFridays,11:00,,via,12:30
MondaysToFridays,08:10,,via,09:15
MondaysToFridays,07:40,,,09:00
MondaysToFridays,07:20,,via,08:55
MondaysToFridays,10:00,,via,11:30
MondaysToFridays,06:50,,via,08:30
MondaysToFridays,06:40,,,08:20
MondaysToFridays,06:20,,,08:15
MondaysToFridays,06:00,,,08:10
MondaysToFridays,05:45,,,07:25
MondaysToFridays,05:30,,,07:05
MondaysToFridays,07:00,,,08:40
PublicHolidays,,07:30,via,08:45
PublicHolidays,14:40,,,16:30
PublicHolidays,14:00,,via,15:30
PublicHolidays,13:00,,via,14:00
PublicHolidays,11:30,,via,12:30
PublicHolidays,10:00,,via,11:30
PublicHolidays,08:00,,via,09:30
PublicHolidays,07:00,,via,08:15
PublicHolidays,16:30,,via,17:30
PublicHolidays,15:00,,,16:30
Saturdays,13:00,,via,14:00
Saturdays,14:00,,via,15:30
Saturdays,11:15,,,12:30
Saturdays,10:45,,via,12:25
Saturdays,10:00,,via,11:30
Saturdays,08:00,,,09:15
Saturdays,07:30,,,08:30
Saturdays,07:00,,via,08:30
Saturdays,06:00,,via,07:30
Saturdays,11:15,,via,12:30
Saturdays,09:00,,,10:00
Sundays,07:20,,,09:00
Sundays,09:00,,via,10:30
Sundays,11:30,,via,13:00
Sundays,14:00,,via,15:30
