day_type,SOMERSET HOSP,CAPE TOWN,GROOTE SCHUUR HOSP,MOWBRAY,N2 FREEWAY,BRENTWOOD PARK,WESBANK,MALIBU,MFULENI,BLACKHEATH,MELTON ROSE STN,ELECTRIC CITY,KUILS RIVER TERM
Fridays,,06:45,07:10,07:20,via,,via,via,via,via,,10:00,
Fridays,,16:00,,,,,,,,18:00,,via,
Fridays,,15:30,,,,,,,,16:45,,via,
Fridays,,15:30,,,,,,via,17:00,,,,
Fridays,16:05,,,,via,via,via,via,,via,,17:55,
Fridays,,15:00,,15:20,via,,,,,16:40,,via,
Fridays,,,16:15,16:25,,,via,via,,via,,17:55,
Fridays,,15:00,,15:20,via,via,via,via,17:00,,,,
Fridays,,17:00,,,,,,via,via,,,18:20,
Fridays,,16:50,,17:20,,via,via,via,,via,,18:45,
Fridays,,13:00,,13:30,via,,via,via,,via,,15:20,
Fridays,,17:15,,,,,via,via,via,via,,19:05,
Fridays,,12:30,,13:00,via,via,via,via,via,via,,14:00,
Fridays,,17:30,,,,via,via,via,via,via,,19:10,
Fridays,,18:15,via,18:35,via,via,via,via,via,via,,20:00,
Fridays,,14:00,,14:20,,via,via,,,,,15:50,
Fridays,,15:40,,,via,,,,,,,,17:20
MondaysToFridays,,15:45,,,,via,via,via,via,via,,18:00,
MondaysToFridays,,16:30,,,,,,,,18:10,,via,
MondaysToFridays,,16:15,,,via,,,via,via,via,,18:05,
MondaysToFridays,,,19:05,19:15,,,via,via,via,via,,20:30,
MondaysToFridays,19:15,19:25,,,via,via,via,,via,,,20:50,
MondaysToFridays,,16:55,,,via,,,,,,18:30,,
MondaysToFridays,07:10,07:20,,,,via,,via,via,via,,09:20,
MondaysToFridays,,15:40,,,,,,,,17:45,,via,
MondaysToFridays,,10:00,,10:30,via,via,via,via,via,via,,11:50,
MondaysToFridays,,11:00,,11:30,via,via,via,via,via,via,,12:45,
MondaysToFridays,,15:00,,15:20,,via,via,,,,,17:00,
MondaysToFridays,,12:00,,12:30,via,via,via,via,via,via,,13:50,
Mondays_to_Thursdays,,18:30,,18:50,via,via,,via,via,via,,20:20,
Mondays_to_Thursdays,,18:05,via,18:25,via,via,via,via,via,via,,19:40,
Mondays_to_Thursdays,,17:45,,,,via,,,,via,,19:10,
Mondays_to_Thursdays,,13:00,,13:30,via,via,via,via,via,via,,15:00,
Mondays_to_Thursdays,,17:15,,,,,via,via,via,via,,19:00,
Mondays_to_Thursdays,,17:15,,,via,,,via,via,via,,18:55,
Mondays_to_Thursdays,,14:00,,14:30,via,,via,via,,via,,15:50,
Mondays_to_Thursdays,,15:30,,,,,,,,17:00,,via,
Mondays_to_Thursdays,,16:50,,,via,,,,,,,,18:30
Mondays_to_Thursdays,,14:15,,14:30,via,via,,via,via,via,,16:05,
Mondays_to_Thursdays,,16:40,,,,via,,,,via,,18:30,
Mondays_to_Thursdays,,15:00,,15:20,via,via,via,via,17:00,,,,
Mondays_to_Thursdays,,15:00,,15:20,via,,,,,16:55,,via,
Mondays_to_Thursdays,,,16:15,16:25,,,via,via,,via,,17:55,
Mondays_to_Thursdays,,16:15,,,,,,,,18:15,,via,
Mondays_to_Thursdays,,15:30,,,,,,via,16:50,,,,
Mondays_to_Thursdays,16:05,,,,via,via,via,via,,via,,18:35,
Mondays_to_Thursdays,,16:00,,,,,,,,18:00,,via,
Mondays_to_Thursdays,,17:00,,,,,,via,via,,,18:20,
PublicHolidays,19:10,19:20,,,,via,,via,,,,20:30,
PublicHolidays,16:00,16:10,,,,via,,via,,,,17:30,
PublicHolidays,13:00,13:10,,,,via,,via,,,,14:30,
PublicHolidays,07:10,07:20,,,,via,,via,,,,08:40,
PublicHolidays,,,07:05,07:15,,,via,via,via,via,,08:30,
PublicHolidays,,,19:10,19:20,,,via,via,via,via,,20:30,
Saturdays,,11:00,,11:30,via,via,via,via,via,via,,12:15,
Saturdays,,07:00,07:10,07:20,via,via,via,via,via,via,,08:15,
Saturdays,07:10,07:20,,,,via,,via,via,via,,08:50,
Saturdays,,09:00,,09:30,via,via,via,via,via,via,,10:15,
Saturdays,,10:00,,10:30,via,via,via,via,via,via,,11:30,
Saturdays,,12:00,,12:20,via,via,via,via,via,via,,13:20,
Saturdays,,13:15,,13:45,via,via,via,via,via,via,,14:30,
Saturdays,19:15,19:25,,,,via,,via,,,,20:55,
Saturdays,,,19:10,19:20,,,via,via,via,via,,20:20,
Saturdays,,17:15,,17:45,via,via,via,via,via,via,,18:30,
Saturdays,,15:00,,15:30,via,via,via,via,via,via,,16:10,
Saturdays,,14:00,,14:20,,via,via,,,,,15:20,
Sundays,,,07:10,07:20,via,,,,via,,,08:15,
Sundays,,17:15,,17:45,via,via,via,via,via,via,,18:40,
Sundays,,,19:10,19:20,via,,,,via,,,20:30,
Sundays,19:15,19:25,,,via,via,via,via,via,via,,20:45,
Sundays,07:10,07:20,,,,via,,via,,,,08:30,
Sundays,,13:15,,13:45,via,via,via,via,via,via,,14:45,
