day_type,SOMERSET HOSP,CAPE TOWN,TOLLGATE STOP,LOTUS RIVER,MOWBRAY,OTTERY RD,CHUKKER RD,STRANDFONTEIN VILL,SAN REMO,BAYVIEW
Fridays,,18:00,,,,,via,via,via,19:00
Fridays,,17:30,,,,,via,via,via,19:00
Fridays,,17:00,,18:30,,,,,,
Fridays,,16:45,,,,via,,via,via,18:10
MondaysToFridays,,07:15,,,07:45,,via,via,via,08:30
MondaysToFridays,19:15,19:25,,,via,,via,via,via,20:30
MondaysToFridays,,18:30,,,,via,,via,via,20:00
MondaysToFridays,,17:45,,,,via,,via,via,19:00
MondaysToFridays,,17:15,,,,via,,via,via,19:00
MondaysToFridays,,17:10,,,,via,,via,via,19:00
MondaysToFridays,,17:00,,,,,via,via,via,18:20
MondaysToFridays,,18:40,,,,,via,via,via,20:10
MondaysToFridays,,14:30,,,,,via,via,via,16:00
MondaysToFridays,,11:15,,,,,via,via,via,12:30
MondaysToFridays,,13:00,,,,,via,via,via,14:30
MondaysToFridays,,14:00,,,,,via,via,via,15:50
MondaysToFridays,,15:00,,,,via,,via,via,16:30
MondaysToFridays,,15:30,,,,,via,via,via,17:15
MondaysToFridays,,16:30,,,,via,,via,via,18:05
MondaysToFridays,,16:10,,,16:40,,via,via,via,18:10
MondaysToFridays,,16:15,,,,,via,via,via,18:15
MondaysToFridays,,,16:30,,,via,,via,via,18:00
MondaysToFridays,,15:50,,,,via,,via,via,17:40
Mondays_to_Thursdays,,17:30,,,,,via,via,via,19:00
Mondays_to_Thursdays,,17:00,,18:30,,,,,,
Mondays_to_Thursdays,,18:00,,,,,via,via,via,19:15
Mondays_to_Thursdays,,16:45,,,,via,,via,via,18:30
PublicHolidays,,07:10,,,,,via,via,via,08:30
PublicHolidays,,17:15,,,,,via,via,via,18:05
PublicHolidays,,16:00,,,,,via,via,via,17:00
PublicHolidays,,15:00,,,,,via,via,via,16:10
PublicHolidays,,14:00,,,,,via,via,via,15:00
PublicHolidays,19:10,19:20,,,via,,via,via,via,20:30
PublicHolidays,,18:00,,,,,via,via,via,19:00
Saturdays,,15:30,,,,,via,via,via,17:00
Saturdays,,07:15,,,,,via,via,via,08:40
Saturdays,,09:00,,,,,via,via,via,10:20
Saturdays,,11:00,,,,,via,via,via,12:30
Saturdays,,12:30,,,,via,,via,via,13:30
Saturdays,,13:30,,,,,via,via,via,15:00
Saturdays,,13:00,,,,,via,via,via,14:30
Saturdays,19:15,19:25,,,via,,via,via,via,20:15
Saturdays,,18:30,,,,via,,via,via,19:30
Saturdays,,18:00,,,,,via,via,via,19:00
Saturdays,,17:15,,,,,via,via,via,18:45
Saturdays,,16:30,,,,via,,via,via,17:40
Sundays,,07:15,,,07:45,,via,via,via,08:30
Sundays,,17:30,,,,,via,via,via,19:00
Sundays,19:10,19:20,,,via,,via,via,via,20:50
Sundays,,14:30,,,,,via,via,via,15:30
Sundays,,15:30,,,,,via,via,via,16:50
