day_type,STRANDFONTEIN VILL,TOWN CENTRE,ROCKLANDS,HANOVER PARK,PAROW IND,TYGERBERG HOSP,TYGERBERG STN,JORDAN SHOES,KOEBERG STN,EASTRIDGE
MondaysToFridays,,05:20,,,,via,06:30,,,
MondaysToFridays,,17:40,via,,via,19:00,,,,
MondaysToFridays,,16:05,via,,via,17:00,17:30,,,
MondaysToFridays,,11:30,via,,via,via,13:00,,,
MondaysToFridays,,07:30,,,,via,08:35,,,
MondaysToFridays,,07:10,,,,via,08:30,,,
MondaysToFridays,,06:35,,,,via,08:00,,,
MondaysToFridays,,06:35,,,,via,08:00,,,
MondaysToFridays,,06:20,,,,via,08:00,,,
MondaysToFridays,,06:10,,,,via,08:00,,,
MondaysToFridays,,07:50,,,,09:00,via,,,
MondaysToFridays,,06:00,,,,07:20,,,,
MondaysToFridays,06:00,,,,via,07:20,07:40,,,
MondaysToFridays,,06:00,,,,,,07:20,,
MondaysToFridays,,05:45,,,,via,06:20,,,
MondaysToFridays,,05:40,,,,via,07:00,,,
MondaysToFridays,,05:30,,,,06:20,,,,
MondaysToFridays,,,,,,,,,06:30,05:30
MondaysToFridays,,05:25,,,,via,06:50,,,
MondaysToFridays,,06:00,,,,via,07:30,,,
PublicHolidays,,07:10,,,,via,08:10,,,
PublicHolidays,,06:30,,,,via,07:30,,,
PublicHolidays,,05:50,via,06:30,via,07:10,,,,
PublicHolidays,,17:30,via,18:10,via,18:40,,,,
PublicHolidays,,07:30,,,,08:30,via,,,
Saturdays,,07:30,,,,via,08:45,,,
Saturdays,,06:30,,,,via,07:45,,,
Saturdays,,05:50,,,,06:50,,,,
Saturdays,,07:00,,,,via,08:30,,,
Saturdays,,06:40,via,07:20,via,08:20,,,,
Sundays,,06:10,,,,via,07:20,,,
Sundays,,06:30,,,,08:00,,,,
Sundays,,07:30,,,,08:20,via,,,
Sundays,,17:30,via,18:10,via,18:30,,,,
