day_type,KARL BREMER HOSP,TYGERBERG STN,TYGERBERG HOSP,PEPCOR FACTORY,PAROW IND,WESBANK,SAREPTA,KUILS RIVER TERM,MALIBU,MFULENI,HILLCREST,ELECTRIC CITY
Fridays,13:05,,13:15,,via,,,,via,via,,15:00
Fridays,14:30,,14:40,,via,,,,via,via,,15:50
Fridays,14:40,14:35,,,,via,,,via,16:00,,
Fridays,,,15:10,,via,,,,via,via,,16:30
Fridays,,17:05,17:15,,via,via,,,via,via,,18:30
Fridays,,,,15:30,,,,,via,via,,16:30
Fridays,,15:30,15:40,,via,,,,via,via,,17:00
Fridays,,,,15:30,,via,via,16:15,,,,
Fridays,16:05,,16:15,,via,,,,via,via,,17:15
MondaysToFridays,07:05,,07:15,,via,,,,via,via,,08:50
MondaysToFridays,19:05,,19:15,,via,,,,via,via,,20:10
MondaysToFridays,,16:40,16:50,,via,,,,via,via,,18:10
Mondays_to_Thursdays,,,,17:10,,,,,via,via,,18:30
Mondays_to_Thursdays,,,,17:10,,via,via,18:30,,,,
Mondays_to_Thursdays,,17:10,17:20,,via,via,,,via,via,,19:10
Mondays_to_Thursdays,16:05,,16:15,,via,,,,via,via,,17:30
Mondays_to_Thursdays,,15:30,15:40,,via,,,,via,via,,17:30
Mondays_to_Thursdays,,,15:10,,via,,,,via,via,,16:40
Mondays_to_Thursdays,,,15:00,,via,,,,via,via,,16:30
Mondays_to_Thursdays,14:40,14:35,,,,via,,,via,15:50,,
Mondays_to_Thursdays,13:05,,13:15,,via,,,,via,via,,14:20
PublicHolidays,07:05,,07:15,,,,,,,,,08:15
PublicHolidays,19:05,,19:15,,,,,,,,,20:00
Saturdays,07:00,,07:10,,via,,,,via,via,,08:20
Saturdays,19:00,,19:10,,via,,,,via,via,,20:20
Sundays,07:00,,07:10,,via,,,,via,via,,08:10
Sundays,07:00,,07:10,,via,via,,,,,08:30,
Sundays,19:00,,19:10,,via,,,,via,via,,20:20
