day_type,CAPE TOWN,MOWBRAY,VALHALLA PARK,MONTE VIDEO,NOOITGEDACHT,BISHOP LAVIS,ELSIES RIVER
MondaysToFridays,,05:55,via,,via,via,06:50
MondaysToFridays,,06:30,via,,via,via,07:40
MondaysToFridays,,11:15,via,,via,via,12:10
MondaysToFridays,,13:15,via,,via,via,14:15
Mondays_to_Thursdays,14:15,,via,,via,via,16:00
Fridays,,14:35,via,,via,via,15:40
Mondays_to_Thursdays,,14:40,via,,via,via,15:40
MondaysToFridays,14:45,,via,,via,via,16:15
MondaysToFridays,15:15,,via,,via,via,16:10
MondaysToFridays,,15:30,via,,via,via,16:25
Fridays,15:30,,via,,via,via,16:45
Mondays_to_Thursdays,15:30,,via,,via,via,16:45
Fridays,15:50,,,,,via,17:50
Mondays_to_Thursdays,16:15,,via,,via,via,17:50
Fridays,16:15,,via,,via,via,17:50
Mondays_to_Thursdays,,16:15,via,,via,via,17:05
Fridays,,16:15,via,,via,via,17:45
Mondays_to_Thursdays,16:30,,via,,via,via,17:45
Fridays,16:30,,via,,via,via,17:45
Mondays_to_Thursdays,16:40,,via,,via,via,17:50
Mondays_to_Thursdays,16:50,,,,,via,18:30
Fridays,16:50,,via,,via,via,18:20
Mondays_to_Thursdays,16:55,,,18:00,,,
Fridays,16:55,,,18:00,,,
Fridays,17:10,,,,,via,18:30
Mondays_to_Thursdays,17:10,,,,,via,18:30
Mondays_to_Thursdays,,17:15,via,,via,via,18:15
Fridays,,17:15,via,,via,via,18:15
MondaysToFridays,17:30,,,,,via,18:35
Mondays_to_Thursdays,,18:00,via,,via,via,18:40
Fridays,,18:00,via,,via,via,18:40
MondaysToFridays,18:05,,,,,via,19:05
Saturdays,,07:15,via,,via,via,08:15
Saturdays,,08:15,via,,via,via,09:15
Saturdays,,09:15,via,,via,via,10:15
Saturdays,,10:15,via,,via,via,11:30
Saturdays,,11:15,via,,via,via,12:15
Saturdays,,12:15,via,,via,via,13:15
Saturdays,,13:15,via,,via,via,14:15
Saturdays,,14:15,via,,via,via,15:15
Saturdays,,15:15,via,,via,via,16:15
Saturdays,15:30,,via,,via,via,16:30
