day_type,TOWN CENTRE,LENTEGEUR HOSP,ELECTRIC CITY,MACADAMS FACTORY,PEPCOR FACTORY,KUILS RIVER,KUILS RIVER TERM,HILLCREST,EERSTE RIVER STN,MELTON ROSE STN
Fridays,14:00,,14:30,,,,,,,15:10
Fridays,13:00,,13:30,,,,,,,14:00
Fridays,13:15,,13:45,,,,,,,14:30
Fridays,13:30,,14:00,,,,,,,14:30
Fridays,14:30,,15:00,,,,,,,15:20
Fridays,12:00,,12:30,,,,,,,13:20
Fridays,15:10,,15:40,,,,,,,16:30
Fridays,14:45,,15:15,,,,,,,16:00
Fridays,16:30,,17:00,,,,,,,17:40
Fridays,17:00,,17:30,,,,,,,17:50
Fridays,17:30,,18:00,,,,,,,18:30
Fridays,18:00,,18:30,,,,,,,19:00
Fridays,15:30,,16:00,,,,,,,16:30
Fridays,11:30,,12:00,,,,,,,12:40
MondaysToFridays,15:30,,16:00,,,,,,,16:30
MondaysToFridays,16:05,,16:35,,,,,,,17:20
MondaysToFridays,14:15,,14:45,,,,,,,15:15
MondaysToFridays,13:45,,14:15,,,,,,,14:45
MondaysToFridays,12:30,,13:00,,,,,,,13:30
MondaysToFridays,05:30,,,,,,,06:15,via,
MondaysToFridays,08:15,,08:45,,,,,,,09:00
MondaysToFridays,06:25,,06:55,,,,,,,07:50
MondaysToFridays,07:00,,07:30,,,,,,,08:15
MondaysToFridays,06:10,,,via,via,,07:35,,,
MondaysToFridays,07:10,,,via,via,,08:20,,,
MondaysToFridays,07:30,,08:00,,,,,,,08:30
MondaysToFridays,06:40,,,via,via,,08:00,,,
MondaysToFridays,06:00,,06:30,,,,,,,07:20
MondaysToFridays,06:30,,,via,via,08:00,via,,,
MondaysToFridays,08:45,,09:15,,,,,,,09:40
MondaysToFridays,09:30,,10:00,,,,,,,10:30
MondaysToFridays,05:35,,,via,via,,06:45,,,
MondaysToFridays,10:00,,10:30,,,,,,,11:00
MondaysToFridays,10:30,,11:00,,,,,,,11:30
MondaysToFridays,11:00,,11:30,,,,,,,12:00
MondaysToFridays,05:55,,,via,via,,07:00,,,
Mondays_to_Thursdays,16:50,,17:20,,,,,,,18:00
Mondays_to_Thursdays,18:00,,18:30,,,,,,,19:00
Mondays_to_Thursdays,16:30,,17:00,,,,,,,17:40
Mondays_to_Thursdays,15:45,,16:15,,,,,,,17:00
Mondays_to_Thursdays,11:30,,12:00,,,,,,,12:30
Mondays_to_Thursdays,15:20,,15:50,,,,,,,16:10
Mondays_to_Thursdays,15:10,,15:40,,,,,,,16:30
Mondays_to_Thursdays,15:00,,15:30,,,,,,,16:00
