day_type,STRANDFONTEIN VILL,TOWN CENTRE,BOFORS CIRCLE,N1 CITY,TAFELSIG LOST CITY
Fridays,,,,17:20,18:00
MondaysToFridays,,05:15,via,06:45,
MondaysToFridays,,05:30,via,06:40,
MondaysToFridays,05:30,06:00,via,07:40,
MondaysToFridays,,05:45,via,08:00,
MondaysToFridays,,06:15,via,07:15,
MondaysToFridays,,06:45,via,08:00,
MondaysToFridays,,07:00,via,08:45,
MondaysToFridays,,07:30,via,09:05,
MondaysToFridays,,08:05,via,09:10,
MondaysToFridays,,09:00,via,10:30,
Mondays_to_Thursdays,,,,16:50,18:00
PublicHolidays,,06:35,via,08:00,
PublicHolidays,,08:00,via,09:00,
PublicHolidays,,07:10,via,08:10,
Saturdays,,07:30,via,08:30,
Saturdays,,08:00,via,09:10,
Saturdays,,09:30,via,11:00,
Saturdays,,11:00,via,12:30,
Saturdays,,17:00,via,18:00,
Saturdays,,07:00,via,08:30,
Saturdays,,06:00,via,07:00,
Sundays,,07:00,via,08:30,
Sundays,,07:45,via,08:30,
Sundays,,09:00,via,10:30,
