day_type,CAPE TOWN,MOWBRAY,NY 108,NY 3,NY 3A,GUGULETU,NYANGA TERM
Fridays,,15:40,via,,,via,16:10
Fridays,15:30,via,,via,via,,17:00
Fridays,16:00,,,,via,,17:30
Fridays,,15:30,,via,,via,16:30
Fridays,15:30,16:00,,via,,via,17:00
Fridays,16:20,,,via,via,,17:30
Fridays,15:00,,via,,,via,16:00
Fridays,,15:00,,via,,via,15:40
Fridays,,16:30,via,,,,17:30
Fridays,14:45,via,,via,via,,15:55
Fridays,,14:40,via,,,,15:10
Fridays,17:00,,,via,via,,18:10
Fridays,16:00,16:25,,,via,16:50,17:15
Fridays,14:00,via,,via,via,,16:00
Fridays,,13:50,,via,,via,14:40
Fridays,17:15,17:40,via,,,,18:25
Fridays,,14:20,via,,,,15:20
Fridays,17:40,,via,,,via,18:40
Fridays,06:20,,via,,,,07:00
Fridays,07:50,,,,via,,06:30
Fridays,18:30,18:55,via,,,,19:00
Fridays,08:00,,,,via,,07:10
Fridays,13:00,13:25,via,,,,14:15
Fridays,11:45,12:10,via,,,,13:00
Fridays,18:00,,,,via,,19:30
Fridays,11:00,11:25,via,,,,12:00
Fridays,,12:40,via,,,via,13:20
Fridays,12:30,12:55,via,,,,13:30
MondaysToFridays,14:15,14:40,via,,,,16:00
MondaysToFridays,13:30,13:55,via,,,,14:45
MondaysToFridays,,16:00,,via,,via,17:15
MondaysToFridays,15:30,15:55,via,,,,16:40
MondaysToFridays,14:00,14:25,via,,,,15:10
MondaysToFridays,18:00,18:25,,via,,18:50,19:10
MondaysToFridays,16:05,,via,,,,17:30
MondaysToFridays,15:15,15:45,,via,,via,16:40
MondaysToFridays,18:00,,via,,,,19:00
MondaysToFridays,15:40,via,,via,via,,17:20
MondaysToFridays,10:00,10:25,via,,,,11:00
MondaysToFridays,16:20,,,,via,,18:10
MondaysToFridays,16:30,via,,via,via,,18:00
MondaysToFridays,16:45,,,via,via,,18:15
MondaysToFridays,17:15,via,,via,via,,18:20
MondaysToFridays,14:30,14:55,via,,,,16:00
MondaysToFridays,07:10,07:35,via,,,,08:10
Mondays_to_Thursdays,18:00,,,,via,,19:10
Mondays_to_Thursdays,16:00,via,,via,via,,17:30
Mondays_to_Thursdays,,16:30,via,,,,17:30
Mondays_to_Thursdays,17:00,,,via,via,,18:00
Mondays_to_Thursdays,16:00,16:25,,via,,16:50,17:20
Mondays_to_Thursdays,17:15,17:40,via,,,,19:00
Mondays_to_Thursdays,06:20,,via,,,,07:10
Mondays_to_Thursdays,,14:00,,via,,via,14:40
Mondays_to_Thursdays,08:20,,,,via,,06:30
Mondays_to_Thursdays,08:10,,,,via,,07:10
Mondays_to_Thursdays,11:00,11:25,via,,,,12:00
Mondays_to_Thursdays,11:45,12:10,via,,,,13:00
Mondays_to_Thursdays,12:30,12:55,via,,,,13:30
Mondays_to_Thursdays,13:00,13:25,via,,,,14:15
Mondays_to_Thursdays,13:00,via,,via,via,,14:00
Mondays_to_Thursdays,14:00,via,,via,via,,15:20
Mondays_to_Thursdays,,14:20,via,,,,15:00
Mondays_to_Thursdays,16:00,,,,via,,17:30
Mondays_to_Thursdays,,14:30,via,,,via,15:45
Mondays_to_Thursdays,14:45,via,,via,via,,15:50
Mondays_to_Thursdays,14:45,15:10,via,,,,15:50
Mondays_to_Thursdays,15:00,via,,via,via,,16:30
Mondays_to_Thursdays,,15:00,,via,,via,15:30
Mondays_to_Thursdays,15:00,,via,,,via,16:30
Mondays_to_Thursdays,15:15,15:40,via,,,,16:10
Mondays_to_Thursdays,,15:30,,via,,via,17:00
Mondays_to_Thursdays,15:30,15:55,,via,,16:20,16:30
Mondays_to_Thursdays,15:30,via,,via,via,,17:10
Mondays_to_Thursdays,,15:40,via,,,via,16:40
Mondays_to_Thursdays,,14:40,via,,,,15:20
PublicHolidays,11:00,11:25,via,,,,12:00
PublicHolidays,13:00,13:25,via,,,,14:00
PublicHolidays,16:00,16:25,via,,,,17:00
PublicHolidays,09:00,09:25,via,,,,10:00
PublicHolidays,15:00,15:25,via,,,,16:00
PublicHolidays,08:30,,,,via,,09:30
PublicHolidays,17:00,17:25,via,,,,18:00
Saturdays,12:30,12:55,via,,,,13:35
Saturdays,07:00,,via,,,via,08:30
Saturdays,08:00,,via,,,,09:00
Saturdays,09:30,09:55,via,,,,10:30
Saturdays,10:30,10:55,via,,,,11:40
Saturdays,11:00,11:25,via,,,,12:00
Saturdays,12:00,12:25,via,,,,13:20
Saturdays,17:00,17:25,via,,,,18:10
Saturdays,16:00,16:25,via,,,,17:00
Saturdays,15:00,15:25,via,,,,16:10
Saturdays,,14:30,via,,,14:55,15:15
Saturdays,14:15,14:40,via,,,,15:30
Saturdays,13:40,via,,via,via,,14:40
Saturdays,13:00,13:25,via,,,,14:00
Saturdays,,17:00,via,,,17:25,17:30
Saturdays,,07:00,via,,,07:25,07:30
Sundays,07:20,,via,,,,08:20
